Iteration,0-0,0-1,1-0,1-1
0,0.9992306377558419,0.7480224219358192,0.5385694636735573,0.42329867436275515
1,0.023656411090875434,0.1448630773882588,0.4229585095575415,0.40852200196332433
2,0.05570213786419487,0.45204786899796046,0.0034303950267716697,0.488819598111073
3,0.037719949415469606,0.48840233233025543,2.1314698638810903e-06,0.473875586784411
4,5.273711057276997e-05,0.4915697657360934,5.537262832736418e-07,0.5083769434270505
5,1.628201802247324e-05,0.5091018294452077,5.960489621470141e-10,0.49088188794072096
6,1.5083951754872575e-08,0.4906905378551721,2.120008372844938e-10,0.5093094468488754
7,5.569097626626654e-09,0.5093493977292249,1.8874588892287644e-13,0.4906505967014887
8,4.9201665220660486e-12,0.4906434637826311,7.019515284242562e-14,0.5093565362123785
9,1.8323570763209743e-12,0.5093577817587956,1.0593060630320002e-16,0.4906422182393719
10,1.6084112858613233e-15,0.4906420017414949,1.1144501093411643e-16,0.5093579982585034
11,5.882611335566184e-16,0.5093580358626182,1.0111388827317051e-16,0.490641964137381
12,1.0262164611272937e-16,0.4906419576066763,1.0637755122605785e-16,0.5093580423933235
13,1.0796379810468267e-16,0.509358043527486,1.1191522352725188e-16,0.4906419564725138
14,1.1358404530864706e-16,0.4906419562755492,1.1530477811104204e-16,0.5093580437244506
15,1.146240721197735e-16,0.5093580437586566,1.051745632269665e-16,0.4906419562413431
16,1.0445842186221576e-16,0.49064195623540263,1.1064961185800475e-16,0.509358043764597
17,1.098961904829961e-16,0.5093580437656287,1.164096738667591e-16,0.4906419562343712
18,1.1561703180434475e-16,0.49064195623419177,1.1516038218196909e-16,0.5093580437658081
19,1.167628893727224e-16,0.509358043765839,1.0502265049391425e-16,0.4906419562341607
20,1.067085790417945e-16,0.4906419562341554,1.1048979103793705e-16,0.5093580437658444
21,1.1226348358982124e-16,0.5093580437658455,1.1624153329013936e-16,0.4906419562341544
22,1.0197494870195914e-16,0.490641956234154,1.1498348874937114e-16,0.5093580437658458
23,1.0728343571786655e-16,0.5093580437658457,1.048365485595839e-16,0.4906419562341541
24,1.1286826545085069e-16,0.4906419562341541,1.1029400123698258e-16,0.5093580437658457
25,1.1630743242715757e-16,0.5093580437658457,1.160355513034623e-16,0.4906419562341541
26,1.0622941247624067e-16,0.4906419562341541,1.1476678400464738e-16,0.5093580437658457
27,1.1175937315791508e-16,0.5093580437658457,1.0460856286460434e-16,0.4906419562341541
28,1.0144459590644865e-16,0.4906419562341541,1.1005414734185173e-16,0.5093580437658457
29,1.0672547446591992e-16,0.5093580437658457,1.1578321138794877e-16,0.4906419562341541
